LISTING_URL,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,MILEAGE/KM,MANUFACTURED_YEAR,ROAD_TAX_PER_YEAR,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,NO_OF_OWNERS,VEHICLE_TYPE,MILEAGE_KM
https://www.sgcarmart.com/used_cars/info.php?ID=898271&DL=2904,BMW,66888,6690,26-Jul-2010,,2010.0,1796.0,Auto,,20/06/2020,41108.0,41108.0,,,2497.0,4.0,Luxury Sedan,181249.0
https://www.sgcarmart.com/used_cars/info.php?ID=881404&DL=1195,Subaru,,,21-Oct-2015,,2015.0,1210.0,Auto,,20/06/2020,18146.0,18146.0,58190.0,,1998.0,1.0,SUV,
https://www.sgcarmart.com/used_cars/info.php?ID=880681&DL=2726,Kia,15800,8890,26-Oct-2007,,2007.0,959.0,Auto,8789.0,20/06/2020,13689.0,15058.0,24715.0,636.0,1591.0,,Mid-Sized Sedan,133000.0
https://www.sgcarmart.com/used_cars/info.php?ID=893506&DL=2976,Hino,47800,7370,15-Dec-2016,,2016.0,,Manual,15641.0,20/06/2020,33816.0,1691.0,24109.0,2344.0,4009.0,,Truck,91000.0
https://www.sgcarmart.com/used_cars/info.php?ID=905751&DL=1000,Nissan,13500,6320,10-Aug-2007,,2007.0,889.0,Auto,9702.0,20/06/2020,13072.0,14380.0,22700.0,760.0,1498.0,4.0,Mid-Sized Sedan,
https://www.sgcarmart.com/used_cars/info.php?ID=858261&DL=1277,Mercedes-Benz,73888,7890,30-Oct-2009,,2009.0,1071.0,Auto,35118.0,20/06/2020,55058.0,55058.0,37502.0,3414.0,1796.0,2.0,Luxury Sedan,103000.0
https://www.sgcarmart.com/used_cars/info.php?ID=892853&DL=3654,Toyota,56500,6930,13-Aug-2008,,2008.0,3720.0,Auto,28520.0,20/06/2020,37137.0,31952.0,34991.0,2953.0,3456.0,4.0,MPV,130000.0
https://www.sgcarmart.com/used_cars/info.php?ID=854193&DL=3626,Suzuki,,,10-Jun-2009,,2009.0,1329.0,Auto,,20/06/2020,19497.0,19497.0,35411.0,2920.0,1995.0,5.0,SUV,
https://www.sgcarmart.com/used_cars/info.php?ID=904566&DL=2975,Volkswagen,17600,8080,21-Sep-2011,,2011.0,620.0,Auto,13844.0,20/06/2020,14975.0,14975.0,44790.0,,1390.0,1.0,Hatchback,100764.0
https://www.sgcarmart.com/used_cars/info.php?ID=905509&DL=3706,Mercedes-Benz,39500,18070,28-Apr-2011,,2010.0,974.0,Auto,28876.0,20/06/2020,48199.0,48199.0,56001.0,,1796.0,3.0,Sports Car,95000.0
